date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (Â°C),Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2021-05-23,82,80,98,62,88,77,78,100,31740,27720,4020,8220,15570,3930,16,87,420,15720,,2021-05-22T22:37:08-04:00,2021-05-23T07:26:08-04:00,64.38,55,22,-0.47,13.625,92,56,100,95,100,100,100,686,2966,500,8469,11597,692,455,196,97,0,0,1.5625,0,75,75,None,0,0,86,89,None,54
2021-05-24,66,67,76,1,79,79,83,70,29400,24360,5040,5700,18600,60,24,83,540,14610,,2021-05-23T23:55:16-04:00,2021-05-24T08:05:16-04:00,64.8,54,17,-0.18,13.75,90,74,100,78,100,98,100,288,2513,500,6482,4969,561,539,192,19,0,129,1.3125,0,75,58,None,85,0,98,94,None,58
2021-05-25,84,94,100,26,96,81,83,84,34560,31380,3180,13530,16140,1710,25,91,510,17400,,2021-05-24T22:40:13-04:00,2021-05-25T08:16:13-04:00,62.5,54,22,-0.11,14.25,89,96,100,60,100,98,100,581,2812,700,8265,10044,372,597,195,82,0,194,1.46875,0,93,90,92,94,95,100,91,None,100
2021-05-26,80,92,100,26,88,78,48,99,32340,28800,3540,10590,17250,960,23,89,2010,16710,,2021-05-25T21:56:37-04:00,2021-05-26T06:55:37-04:00,69.12,58,21,-0.11,14.375,85,69,100,60,100,98,100,439,2721,500,9302,7348,608,552,222,54,0,4,1.4375,0,77,82,83,93,78,100,83,None,14
2021-05-27,83,100,100,1,97,71,91,90,37020,34200,2820,12150,22050,0,21,92,690,18540,,2021-05-26T22:10:26-04:00,2021-05-27T08:27:26-04:00,67.66,58,20,0.05,14.75,87,84,100,60,100,98,100,526,2751,500,6292,9232,474,608,213,50,1,94,1.4375,0,82,87,90,88,82,100,64,None,76
2021-05-28,82,89,100,13,100,82,78,97,31680,30090,1590,9000,20190,900,26,95,420,15870,,2021-05-27T22:39:31-04:00,2021-05-28T07:27:31-04:00,67.16,57,19,0.1,14.25,78,55,95,43,100,96,100,318,2607,500,7113,5421,719,437,272,12,0,0,1.375,1,84,85,88,92,80,97,67,None,94
2021-05-29,75,88,100,1,96,80,86,44,32580,29700,2880,10050,19650,0,24,91,570,16380,,2021-05-29T00:17:23-04:00,2021-05-29T09:20:23-04:00,70.07,60,21,0.25,14.125,82,81,100,43,100,96,100,384,2545,500,3473,6569,483,751,161,44,1,0,1.3125,0,74,73,88,85,85,85,69,None,24
2021-05-30,81,92,100,9,97,77,75,100,33600,30900,2700,11280,19020,600,25,92,330,16740,,2021-05-29T21:45:11-04:00,2021-05-30T07:05:11-04:00,68.8,58,18,0.06,14.375,70,54,60,25,100,96,100,352,2621,500,7447,6021,728,477,199,36,0,0,1.375,3,80,85,90,96,85,100,70,75,46
2021-05-31,77,80,100,10,99,88,67,81,29580,27720,1860,10320,16740,660,24,94,150,14730,,2021-05-30T23:30:04-04:00,2021-05-31T07:43:04-04:00,68.49,57,19,-0.01,14.25,78,81,100,25,100,95,100,396,2681,500,8163,6753,507,568,268,29,1,67,1.40625,0,75,77,86,84,87,100,73,76,22
2021-06-01,86,99,100,33,90,77,81,96,37800,33180,4620,12330,18690,2160,20,88,450,18870,,2021-05-31T21:52:30-04:00,2021-06-01T08:22:30-04:00,68.41,56,20,0.09,14.625,78,82,100,25,100,96,100,607,2888,700,9030,10662,480,541,286,62,0,71,1.53125,0,90,96,91,93,86,97,100,77,80
2021-06-02,74,70,100,13,86,86,78,92,29040,24930,4110,10080,14010,840,24,86,1380,15540,,2021-06-01T22:55:57-04:00,2021-06-02T06:59:57-04:00,69.18,61,15,-0.03,14.625,75,67,95,25,96,95,100,340,2589,500,7868,6076,613,555,228,23,0,21,1.34375,1,74,70,82,90,82,100,58,72,62
2021-06-03,82,97,100,10,90,79,78,86,36420,32220,4200,13440,18120,660,20,88,420,18780,,2021-06-02T22:13:35-04:00,2021-06-03T08:20:35-04:00,70.01,59,19,0.08,14.375,76,74,100,25,96,96,100,620,2852,500,9203,11183,553,501,189,72,0,125,1.5,0,81,88,87,90,86,97,68,77,63
2021-06-04,72,70,98,23,97,76,70,72,27180,25020,2160,8100,15390,1530,22,92,240,13620,,2021-06-04T00:07:07-04:00,2021-06-04T07:40:07-04:00,66.53,58,19,0.01,14.375,78,88,95,25,96,96,100,434,2664,500,9263,7784,444,566,215,48,0,167,1.40625,1,76,67,79,86,81,100,99,77,27
2021-06-05,81,90,100,28,95,80,75,76,33540,30180,3360,8820,19500,1860,25,90,330,17040,,2021-06-04T23:02:10-04:00,2021-06-05T08:21:10-04:00,66.54,59,18,-0.1,14.375,73,74,95,25,71,96,98,458,2795,650,9897,7967,565,457,405,13,0,0,1.46875,1,86,87,83,96,85,100,83,76,99
2021-06-06,70,72,96,6,79,81,89,52,30660,25590,5070,7290,17910,390,17,83,1140,15000,,2021-06-06T00:24:00-04:00,2021-06-06T08:55:00-04:00,67.62,57,19,-0.03,15,70,74,95,25,71,95,89,397,2648,500,8896,6912,561,575,272,32,0,0,1.375,1,76,63,78,90,84,100,84,77,58
2021-06-07,83,94,100,21,99,85,75,75,33120,31230,1890,10590,19230,1410,19,94,360,16800,,2021-06-06T23:08:22-04:00,2021-06-07T08:20:22-04:00,66.16,58,20,-0.21,13.375,79,96,100,25,96,95,100,350,2516,500,4420,5990,388,587,121,41,0,303,1.3125,0,83,92,81,92,85,98,92,79,53
2021-06-08,84,98,100,28,100,87,72,68,34140,32730,1410,11430,19470,1830,28,96,270,17100,,2021-06-07T23:17:22-04:00,2021-06-08T08:46:22-04:00,65.51,58,20,-0.02,13.75,76,77,95,25,96,96,100,483,2698,700,9479,8706,540,632,215,53,0,0,1.40625,1,90,94,84,97,88,100,92,81,100
2021-06-09,74,71,96,4,97,80,75,100,27600,25440,2160,7350,17790,300,21,92,330,14070,,2021-06-08T22:51:03-04:00,2021-06-09T06:31:03-04:00,64.61,55,19,-0.21,14,80,66,95,43,100,97,100,745,3030,500,17341,13357,602,506,218,114,0,0,1.59375,1,78,71,80,90,86,98,100,81,25
2021-06-10,85,100,100,23,98,89,94,54,40560,37620,2940,8820,27270,1530,28,93,1020,20610,,2021-06-09T22:46:21-04:00,2021-06-10T10:02:21-04:00,70.63,56,26,-0.17,15.125,82,86,100,43,100,98,98,614,2824,500,11778,11380,458,679,239,64,0,0,1.46875,0,84,96,90,78,78,99,59,87,95
2021-06-11,82,100,100,16,90,80,78,64,38100,33630,4470,14520,18060,1050,21,88,1380,20280,,2021-06-10T22:31:47-04:00,2021-06-11T09:06:47-04:00,66.02,57,21,-0.16,13.75,76,73,78,43,100,98,89,508,2699,700,12327,8985,563,642,158,77,0,0,1.40625,2,92,89,95,91,75,99,100,87,100
2021-06-12,82,94,100,46,99,83,78,50,33240,31230,2010,10650,17640,2940,22,94,390,16380,,2021-06-12T00:05:30-04:00,2021-06-12T09:19:30-04:00,63.97,57,23,-0.04,14.25,75,69,100,43,100,99,80,426,2607,650,8232,7617,596,653,127,64,0,0,1.34375,0,88,89,95,88,75,100,100,88,62
2021-06-13,70,81,100,4,81,88,11,90,33000,27870,5130,9720,17910,240,20,84,3600,17400,,2021-06-12T22:27:46-04:00,2021-06-13T07:37:46-04:00,61.76,54,29,0.01,13.625,81,70,100,43,100,98,100,485,2734,500,7327,8408,589,519,232,57,0,43,1.4375,0,82,63,92,88,76,100,98,92,49
2021-06-14,76,84,100,2,90,72,86,79,32700,28740,3960,11760,16890,90,26,88,570,16110,,2021-06-13T23:11:02-04:00,2021-06-14T08:16:02-04:00,65.21,58,19,-0.32,13.875,82,78,100,43,100,98,100,357,2578,650,6155,6068,537,573,165,41,0,124,1.34375,0,85,76,90,88,77,94,81,91,86
2021-06-15,84,92,100,29,98,81,81,88,33180,30870,2310,11400,17580,1890,31,93,480,16470,,2021-06-14T22:48:55-04:00,2021-06-15T08:01:55-04:00,67.9,57,17,-0.17,14,85,69,95,60,100,99,100,671,2918,650,11814,11874,593,549,132,109,1,56,1.53125,1,86,94,91,94,81,99,73,88,75
2021-06-16,74,71,92,21,95,73,75,97,28200,25290,2910,6840,17040,1410,24,90,330,14280,,2021-06-15T23:07:07-04:00,2021-06-16T06:57:07-04:00,61.82,56,21,-0.2,13.25,81,77,95,43,100,98,100,427,2626,500,9140,7823,538,585,177,48,0,92,1.375,1,84,71,85,81,77,98,89,89,100
2021-06-17,87,98,100,29,95,82,78,100,36180,32520,3660,10650,19950,1920,21,90,420,17250,,2021-06-16T21:41:32-04:00,2021-06-17T07:44:32-04:00,62.16,55,24,-0.13,13.5,76,64,100,25,100,97,100,450,2716,700,9627,8121,633,499,278,30,0,0,1.4375,0,93,100,88,92,80,100,100,90,100
2021-06-18,84,90,100,60,97,81,81,68,32880,30330,2550,14280,12270,3780,28,92,480,16170,,2021-06-17T23:32:58-04:00,2021-06-18T08:40:58-04:00,66.82,60,21,-0.11,13.75,75,70,95,25,96,96,100,333,2589,650,6951,5672,575,529,268,14,0,54,1.375,1,85,93,87,85,80,100,64,89,100
2021-06-19,68,72,74,1,90,80,86,55,28920,25590,3330,5520,20010,60,25,88,1170,14670,,2021-06-19T00:23:59-04:00,2021-06-19T08:25:59-04:00,67.55,60,20,0.12,14,76,87,100,25,71,95,100,402,2624,500,8670,6875,448,649,326,17,0,0,1.375,0,79,58,82,94,84,94,73,89,76
2021-06-20,78,68,100,24,100,90,81,100,25680,24480,1200,8940,13950,1590,17,95,450,12810,,2021-06-19T23:11:45-04:00,2021-06-20T06:19:45-04:00,66.05,58,18,0.07,14.75,75,89,100,43,40,82,100,545,2882,500,11871,9094,439,505,471,25,0,0,1.5,0,79,80,77,100,85,99,65,87,67
2021-06-21,67,69,93,12,65,66,86,76,32040,24690,7350,6870,17070,750,34,77,600,18210,,2021-06-20T22:42:00-04:00,2021-06-21T07:36:00-04:00,59.47,51,37,-0.31,15.625,70,77,95,43,40,64,100,262,2482,500,5552,4457,538,563,226,9,0,104,1.3125,1,83,56,72,96,84,94,100,93,100
2021-06-22,83,100,100,28,95,74,70,81,38160,34410,3750,9450,23130,1830,26,90,210,18210,,2021-06-21T22:33:09-04:00,2021-06-22T09:09:09-04:00,62.27,55,31,-0.01,13.125,60,77,100,25,1,50,100,313,2558,700,6401,5099,517,639,275,9,0,0,1.34375,0,90,92,79,97,89,100,89,97,100
2021-06-23,82,93,79,46,98,78,70,88,33420,30990,2430,5880,22200,2910,25,93,240,16350,,2021-06-22T22:50:30-04:00,2021-06-23T08:07:30-04:00,63.08,57,23,0.04,14.125,58,69,100,25,1,45,100,324,2536,700,7253,5859,604,593,229,14,0,0,1.3125,0,90,89,81,99,92,100,89,96,100
2021-06-24,85,95,100,50,93,73,70,100,35220,31410,3810,9000,19230,3180,25,89,240,16920,,2021-06-23T22:15:33-04:00,2021-06-24T08:02:33-04:00,60.73,52,28,-0.07,14.25,59,78,100,25,1,41,100,333,2571,650,6850,5680,528,612,282,10,0,8,1.34375,0,89,96,83,91,93,100,98,98,62
2021-06-25,88,88,100,84,97,83,67,96,32100,29640,2460,9180,15180,5280,21,92,180,15810,,2021-06-24T22:42:11-04:00,2021-06-25T07:37:11-04:00,61.23,53,26,-0.02,13.375,55,60,95,25,1,38,100,358,2680,700,7377,5948,662,451,318,9,0,0,1.40625,1,93,100,83,97,95,100,99,99,82
2021-06-26,76,89,100,1,97,82,89,41,32700,29970,2730,10800,19110,60,24,92,630,16170,,2021-06-26T00:27:06-04:00,2021-06-26T09:32:06-04:00,65.81,56,21,-0.07,14.375,61,90,100,25,1,43,100,320,2516,500,6884,5629,417,656,222,23,0,122,1.3125,0,84,75,85,87,95,100,95,97,47
2021-06-27,86,99,100,65,100,85,67,51,34920,33210,1710,11070,18030,4110,25,95,180,17160,,2021-06-26T23:50:16-04:00,2021-06-27T09:32:16-04:00,64.03,55,26,-0.15,13,55,89,100,1,1,46,100,372,2618,700,7701,6488,428,618,293,18,0,83,1.375,0,92,98,90,100,97,100,100,97,57
2021-06-28,79,78,95,51,97,79,75,82,29520,27090,2430,7140,16740,3210,20,92,360,14610,,2021-06-27T23:30:46-04:00,2021-06-28T07:42:46-04:00,65.54,58,21,0.13,13.5,55,79,100,1,1,56,100,502,2739,650,11159,9301,530,572,307,31,0,0,1.4375,0,88,82,86,100,100,94,87,95,72
2021-06-29,90,96,100,68,98,79,83,98,34260,31890,2370,11070,16500,4320,21,93,540,16800,,2021-06-28T22:22:37-04:00,2021-06-29T07:53:37-04:00,63.03,54,26,-0.11,13.25,56,72,95,1,1,69,100,424,2683,700,9308,7467,586,573,244,37,0,0,1.40625,1,91,100,88,89,95,100,100,96,63
2021-06-30,76,71,88,55,90,72,75,100,28860,25290,3570,6510,15330,3450,23,88,330,14220,,2021-06-29T22:29:38-04:00,2021-06-30T06:30:38-04:00,59.43,53,29,-0.11,13.75,53,62,100,1,1,62,98,319,2575,650,6614,5556,656,492,285,7,0,0,1.34375,0,86,74,83,89,93,100,96,97,70
2021-07-01,80,87,100,27,93,77,86,70,33240,29430,3810,9960,17700,1770,22,89,1170,16680,,2021-06-30T23:20:32-04:00,2021-07-01T08:34:32-04:00,62.92,55,21,0.08,13.75,55,73,100,1,1,62,100,455,2751,700,9478,7876,568,500,354,17,1,0,1.4375,0,91,84,83,88,94,98,100,95,100
2021-07-02,75,81,100,39,97,87,72,30,30300,28020,2280,10860,14640,2520,24,92,270,14940,,2021-07-02T01:08:30-04:00,2021-07-02T09:33:30-04:00,69.03,58,22,0.14,14.875,53,71,100,1,1,52,100,224,2466,500,4790,3578,586,558,238,5,0,53,1.28125,0,77,72,81,89,91,93,69,94,39
2021-07-03,74,84,100,18,96,94,56,39,31620,28710,2910,9630,17910,1170,23,91,1860,16710,,2021-07-03T00:21:37-04:00,2021-07-03T09:08:37-04:00,65.23,58,23,0.18,13.75,57,94,95,1,1,53,100,401,2591,500,9038,7289,378,714,269,26,0,53,1.34375,1,84,70,81,96,95,89,94,93,61
2021-07-04,77,97,100,4,96,78,62,53,35640,32460,3180,12060,20130,270,26,91,1740,18120,,2021-07-03T23:30:49-04:00,2021-07-04T09:24:49-04:00,63.17,57,19,-0.11,14.5,57,89,100,1,1,55,100,424,2670,650,8617,7325,439,664,314,23,0,0,1.375,0,89,77,85,100,93,100,94,90,91
2021-07-05,81,90,98,27,96,86,70,70,33360,30240,3120,8220,20220,1800,22,91,1560,17010,,2021-07-04T23:15:13-04:00,2021-07-05T08:31:13-04:00,63.66,54,21,-0.1,13.625,53,74,95,1,1,51,100,267,2466,650,5344,4643,561,649,217,13,0,0,1.28125,1,88,87,85,99,92,100,100,89,66
2021-07-06,83,95,100,24,86,84,83,77,36660,31710,4950,10170,19920,1620,24,86,510,18390,,2021-07-05T22:38:41-04:00,2021-07-06T08:49:41-04:00,60.37,56,22,-0.62,15,54,77,95,1,1,50,100,306,2503,700,6470,5416,531,672,222,15,0,0,1.3125,1,92,92,88,96,94,84,93,88,100
2021-07-07,81,77,98,49,93,81,75,100,30120,26880,3240,8220,15540,3120,23,89,1440,15390,,2021-07-06T22:34:03-04:00,2021-07-07T06:56:03-04:00,64.71,56,19,0.06,13.5,54,78,100,1,1,47,100,273,2482,650,5904,4981,524,513,200,11,0,192,1.3125,0,86,87,84,96,95,100,100,86,47
2021-07-08,82,95,100,20,98,79,70,88,33900,31650,2250,10860,19500,1290,20,93,210,16950,,2021-07-07T22:40:31-04:00,2021-07-08T08:05:31-04:00,62.48,55,25,0.28,13.75,48,62,78,1,1,38,100,160,2356,650,3141,2672,651,633,155,1,0,0,1.21875,2,89,89,87,95,96,81,93,87,73
2021-07-09,85,96,100,26,98,87,67,91,34020,31800,2220,12570,17520,1710,23,93,150,16470,,2021-07-08T22:42:13-04:00,2021-07-09T08:09:13-04:00,62.27,56,20,0.1,14,51,71,100,1,1,37,100,355,2614,700,7284,6180,584,564,280,10,2,0,1.375,0,93,97,89,94,100,97,93,86,100
2021-07-10,86,88,100,67,98,84,94,71,32040,29640,2400,10620,14790,4230,18,93,1020,16200,,2021-07-09T23:26:39-04:00,2021-07-10T08:20:39-04:00,61.87,53,25,-0.15,13,55,87,100,1,1,45,100,547,2812,700,12048,10031,455,601,354,30,0,0,1.46875,0,92,99,88,89,99,100,100,88,77
2021-07-11,77,81,100,1,96,89,89,66,30600,27840,2760,9000,18840,0,19,91,1140,15270,,2021-07-10T23:52:30-04:00,2021-07-11T08:22:30-04:00,65.36,58,19,0.05,13.75,70,84,100,25,40,81,100,789,3104,500,15608,14218,477,537,343,83,0,0,1.625,0,81,76,85,91,92,100,68,86,67
2021-07-12,89,96,100,95,99,84,72,64,34080,32100,1980,11610,14430,6060,17,94,300,17430,,2021-07-11T23:19:22-04:00,2021-07-12T08:47:22-04:00,61.92,55,27,0.13,13.375,68,87,95,25,40,75,98,258,2466,650,5883,4379,460,604,195,14,0,167,1.28125,1,87,100,88,81,81,93,100,88,58
2021-07-13,83,89,100,27,96,84,75,96,32820,30030,2790,11310,16920,1800,17,91,360,16380,,2021-07-12T22:33:25-04:00,2021-07-13T07:40:25-04:00,61.35,54,25,0.18,13.25,67,70,95,25,40,77,100,332,2568,700,7865,6010,592,508,201,24,0,115,1.34375,1,91,91,88,100,86,90,100,89,82
2021-07-14,82,67,90,69,98,89,89,100,26160,24360,1800,6690,13290,4380,20,93,1110,13320,,2021-07-13T23:12:33-04:00,2021-07-14T06:28:33-04:00,61.28,54,27,-0.14,13.625,69,93,100,25,40,68,100,322,2562,650,7005,5741,409,492,259,8,0,272,1.34375,0,88,88,81,90,86,100,100,91,82
2021-07-15,85,80,100,94,98,82,67,87,29760,27630,2130,9360,12390,5880,21,93,180,14400,,2021-07-14T23:25:01-04:00,2021-07-15T07:41:01-04:00,61.98,58,24,-0.19,13.125,60,62,60,25,40,66,100,389,2658,650,8576,6923,645,493,279,23,0,0,1.40625,3,88,95,78,98,88,98,82,92,100
2021-07-16,74,62,95,60,83,78,97,75,27120,23010,4110,7230,12000,3780,24,85,810,12720,,2021-07-16T00:17:14-04:00,2021-07-16T07:49:14-04:00,59.55,54,24,0.05,13.75,67,84,100,25,40,59,100,382,2672,500,8483,6573,485,449,318,16,0,172,1.40625,0,80,68,71,85,87,100,100,92,56
2021-07-17,74,80,100,3,96,88,91,34,30300,27690,2610,10860,16680,150,22,91,720,15180,,2021-07-17T00:57:08-04:00,2021-07-17T09:22:08-04:00,65.57,56,19,-0.2,13.75,80,83,100,43,71,95,100,775,3056,500,17360,13855,471,601,260,108,0,0,1.59375,0,80,69,70,94,88,98,73,89,92
2021-07-18,82,87,96,61,95,85,89,52,32700,29520,3180,7440,18180,3900,21,90,630,16590,,2021-07-17T23:58:00-04:00,2021-07-18T09:03:00-04:00,64.09,54,25,-0.09,13.5,71,78,100,25,40,95,100,402,2559,500,9178,7400,348,317,227,31,0,8,1.53125,0,83,89,71,81,78,100,97,90,77
